Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection,Explanation
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"  The commit message indicates that a bug was fixed in the `GroovyTemplate` class, specifically in the `template()` method. The bug was that the `engine` argument was being ignored in the `template()` method with three arguments.

The diff shows that the `getTemplate()` method was modified to take an `engine` argument, and the `make()` method was modified to use the `engine` argument. This fixes the issue where the `engine` argument was being ignored.

Therefore, the answer is **Buggy**."
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}","  The commit message describes a bug fix related to the `GroovyTemplate` class. The bug was that the `template()` method in the `GroovyTemplate` class was ignoring the `engine` argument in the 3-arg version of the method.

The diff shows the changes made to the `getTemplate()` method, which is responsible for creating a template for a given name. The changes made to the method include:

1. Removing the `GStringTemplateEngine` variable `engine` and instead using the `TemplateEngine` argument `engine`.
2. Changing the `File` object to read the template from the `templates` directory instead of using a hardcoded path.
3. Changing the `ClassLoader` and `URL` variables to use the `getResource()` method instead of `getResourceAsStream()`.

The changes made to the method are likely intended to fix the bug and provide a more robust implementation of the `template()` method.","  The commit message describes a bug fix related to the `GroovyTemplate` class. The bug was that the `template()` method in the `GroovyTemplate` class was ignoring the `engine` argument in the 3-arg version of the method.

The diff shows the changes made to the `getTemplate()` method, which is responsible for creating a template for a given name. The changes made to the method include:

1. Removing the `GStringTemplateEngine` variable `engine` and instead using the `TemplateEngine` argument `engine`.
2. Changing the `File` object to read the template from the `templates` directory instead of using a hardcoded path.
3. Changing the `ClassLoader` and `URL` variables to use the `getResource()` method instead of `getResourceAsStream()`.

The changes made to the method are likely intended to fix the bug and provide a more robust implementation of the `template()` method."
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}","  This commit changes the method `couchbaseEnvironment()` in `CouchbaseConfiguration` to return an instance of `DefaultCouchbaseEnvironment` instead of `CouchbaseEnvironment`. The method also adds a new parameter to the method, `properties`, which is used to initialize the `DefaultCouchbaseEnvironment`.

The main purpose of this commit is to customize the socket connect timeout value in Couchbase's `DefaultCouchbaseEnvironment`. The commit adds a new property `socketConnectTimeout` to the `properties` map, which is used to set the socket connect timeout value in the `DefaultCouchbaseEnvironment` instance.

The commit also adds a new test method `testSocketConnectTimeout()` to test the socket connect timeout value in the `DefaultCouchbaseEnvironment`. The test method verifies that the socket connect timeout value is set correctly and that the Couchbase server can handle a socket connection within the specified timeout.

Overall, this commit is a fix for a bug in the Couchbase client library, where the socket connect timeout value was not properly set. The commit makes the library more robust by allowing users to customize the socket connect timeout value.","  This commit changes the method `couchbaseEnvironment()` in `CouchbaseConfiguration` to return an instance of `DefaultCouchbaseEnvironment` instead of `CouchbaseEnvironment`. The method also adds a new parameter to the method, `properties`, which is used to initialize the `DefaultCouchbaseEnvironment`.

The main purpose of this commit is to customize the socket connect timeout value in Couchbase's `DefaultCouchbaseEnvironment`. The commit adds a new property `socketConnectTimeout` to the `properties` map, which is used to set the socket connect timeout value in the `DefaultCouchbaseEnvironment` instance.

The commit also adds a new test method `testSocketConnectTimeout()` to test the socket connect timeout value in the `DefaultCouchbaseEnvironment`. The test method verifies that the socket connect timeout value is set correctly and that the Couchbase server can handle a socket connection within the specified timeout.

Overall, this commit is a fix for a bug in the Couchbase client library, where the socket connect timeout value was not properly set. The commit makes the library more robust by allowing users to customize the socket connect timeout value."
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}","  The commit message and the code changes are related to customizing the socket connect timeout in Couchbase's environment. The commit message explains that the Windows build is failing due to the socket connect timeout not being set to a sufficient value, and that this commit adds a property to customize this option and set it to 10 seconds in the sample. The code changes add a new method `initializeEnvironmentBuilder` that returns a `DefaultCouchbaseEnvironment.Builder` object, and add a new parameter `timeouts.getSocketConnect()` to the `connectTimeout` method call. This parameter sets the socket connect timeout to 10 seconds. The commit also adds a test that demonstrates how the customized environment can be used.

The commit message and code changes are related to a bug fix. The bug is related to the socket connect timeout not being set to a sufficient value, which is causing the Windows build to fail. The commit fixes this bug by adding a new parameter to the `connectTimeout` method call to set the socket connect timeout to 10 seconds. This change ensures that the socket connect timeout is set to a sufficient value, which is required for the Windows build to succeed.

Overall, the commit message and code changes are related to customizing the socket connect timeout in Couchbase's environment, and are intended to fix a bug related to the socket connect timeout not being set to a sufficient value.","  The commit message and the code changes are related to customizing the socket connect timeout in Couchbase's environment. The commit message explains that the Windows build is failing due to the socket connect timeout not being set to a sufficient value, and that this commit adds a property to customize this option and set it to 10 seconds in the sample. The code changes add a new method `initializeEnvironmentBuilder` that returns a `DefaultCouchbaseEnvironment.Builder` object, and add a new parameter `timeouts.getSocketConnect()` to the `connectTimeout` method call. This parameter sets the socket connect timeout to 10 seconds. The commit also adds a test that demonstrates how the customized environment can be used.

The commit message and code changes are related to a bug fix. The bug is related to the socket connect timeout not being set to a sufficient value, which is causing the Windows build to fail. The commit fixes this bug by adding a new parameter to the `connectTimeout` method call to set the socket connect timeout to 10 seconds. This change ensures that the socket connect timeout is set to a sufficient value, which is required for the Windows build to succeed.

Overall, the commit message and code changes are related to customizing the socket connect timeout in Couchbase's environment, and are intended to fix a bug related to the socket connect timeout not being set to a sufficient value."
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}","  The diff updates the `LambdaSafe` class to detect `ClassCastException` messages that start with ""module/name"" by adding a new method `startsWithArgumentClassName` that checks if a given string starts with the class name of an object. The method takes two arguments: the string to check and the object to check the class name of. The method returns `true` if the string starts with the class name of the object, or `false` otherwise.

The diff also updates the `startsWith` predicate to use the new method `startsWithArgumentClassName` instead of calling `message.startsWith(argument.getClass().getName())`.

Overall, this change attempts to fix an issue with error detection on JDK 9 by updating the `LambdaSafe` class to detect `ClassCastException` messages that start with ""module/name"". The change may be related to a bug reported in GitHub issue 11584.","  The diff updates the `LambdaSafe` class to detect `ClassCastException` messages that start with ""module/name"" by adding a new method `startsWithArgumentClassName` that checks if a given string starts with the class name of an object. The method takes two arguments: the string to check and the object to check the class name of. The method returns `true` if the string starts with the class name of the object, or `false` otherwise.

The diff also updates the `startsWith` predicate to use the new method `startsWithArgumentClassName` instead of calling `message.startsWith(argument.getClass().getName())`.

Overall, this change attempts to fix an issue with error detection on JDK 9 by updating the `LambdaSafe` class to detect `ClassCastException` messages that start with ""module/name"". The change may be related to a bug reported in GitHub issue 11584."
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,  The commit message says it supports non-standard error codes with AbstractErrorWebExceptionHandler. The diff shows that it handles errors with rawStatusCode() instead of statusCode(). This indicates that the code now supports non-standard error codes. The answer is **Buggy**.
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"  The commit message indicates that a bug was fixed in the `Optional#presentInstances` method. The diff adds a private field `iterator` to store the iterator of `Optional<T>` objects, and updates the `computeNext` method to use the stored iterator instead of calling `checkNotNull` on each iteration. The bug that was fixed was likely caused by a memory leak or other performance issue related to the use of `checkNotNull`. The use of a private field to store the iterator reduces the number of unnecessary method calls and improves performance. Therefore, the answer is **Buggy**."
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }","  The code in this commit fixes a bug in the `Optional#presentInstances` method. The original code used `optionals.iterator()` without checking if the iterator was null, which could have resulted in a NullPointerException. The fix adds a null check for the iterator using the `checkNotNull` method provided by the `Iterables` class.

The diff also introduces a new line `private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());`, which is used to cache the iterator of the `optionals` iterable in a private field. This is done to avoid the overhead of calling `optionals.iterator()` multiple times during the execution of the method.

Overall, this commit fixes a bug in the `Optional#presentInstances` method and improves the performance of the method by caching the iterator of the `optionals` iterable.","  The code in this commit fixes a bug in the `Optional#presentInstances` method. The original code used `optionals.iterator()` without checking if the iterator was null, which could have resulted in a NullPointerException. The fix adds a null check for the iterator using the `checkNotNull` method provided by the `Iterables` class.

The diff also introduces a new line `private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());`, which is used to cache the iterator of the `optionals` iterable in a private field. This is done to avoid the overhead of calling `optionals.iterator()` multiple times during the execution of the method.

Overall, this commit fixes a bug in the `Optional#presentInstances` method and improves the performance of the method by caching the iterator of the `optionals` iterable."
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }","  The commit message indicates that the performance problem in LinkedHashMultimap.removeAll(key) has been fixed, as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100. The diff shows that the original code was inefficient because it created a new set of linked entries for each call to removeAll, which caused the method to have a time complexity of O(n^2). The fix replaces this with a loop that iterates over the values in the multimap and removes each entry individually, which has a time complexity of O(n). This change improves the performance of the method.","  The commit message indicates that the performance problem in LinkedHashMultimap.removeAll(key) has been fixed, as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100. The diff shows that the original code was inefficient because it created a new set of linked entries for each call to removeAll, which caused the method to have a time complexity of O(n^2). The fix replaces this with a loop that iterates over the values in the multimap and removes each entry individually, which has a time complexity of O(n). This change improves the performance of the method."
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }","  The commit message explains that a bug was fixed in the `hasEdgeConnecting()` method of the `AbstractNetwork` class. The bug caused the method to throw an exception if either endpoint was not in the graph. The fix is to check if the nodes are in the graph and if they are, then check if there is a edge connecting them.

The Git diff shows the changes made to the method. The original code has been replaced with the following:
```
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return!edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }
```
The changes made are as follows:

* The check for the presence of edges connecting the nodes has been removed.
* The `checkNotNull()` method has been added to check if the nodes are not null.
* The `nodes()` method has been added to check if the nodes are in the graph.
* The `successors()` method has been added to check if there is a edge connecting the nodes.

The commit message and Git diff both indicate that the fix is intended to address issue #3721, which was reported as a bug in the `AbstractNetwork` class. The bug was caused by the method throwing an exception if either endpoint was not in the graph. The fix is to check if the nodes are in the graph and if they are, then check if there is a edge connecting them.","  The commit message explains that a bug was fixed in the `hasEdgeConnecting()` method of the `AbstractNetwork` class. The bug caused the method to throw an exception if either endpoint was not in the graph. The fix is to check if the nodes are in the graph and if they are, then check if there is a edge connecting them.

The Git diff shows the changes made to the method. The original code has been replaced with the following:
```
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return!edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }
```
The changes made are as follows:

* The check for the presence of edges connecting the nodes has been removed.
* The `checkNotNull()` method has been added to check if the nodes are not null.
* The `nodes()` method has been added to check if the nodes are in the graph.
* The `successors()` method has been added to check if there is a edge connecting the nodes.

The commit message and Git diff both indicate that the fix is intended to address issue #3721, which was reported as a bug in the `AbstractNetwork` class. The bug was caused by the method throwing an exception if either endpoint was not in the graph. The fix is to check if the nodes are in the graph and if they are, then check if there is a edge connecting them."
