Project,File,CommitHash,Diff,Decision,CommitMessage,text,Detection
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}","analysisWe need to determine if changes indicate bug fix. Diff shows change in method: originally getTemplate(name) replaced with getTemplate(engine, name). So previously getTemplate might have been static or no engine parameter; now passes engine. Likely bug fix because engine was not used causing wrong template context. So yes bug fix. Output ""Buggy"".assistantfinalBuggy"
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().","CommitMessage: Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().
Diff:
@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}","analysisWe need to determine if the changes indicate a bug fix. Let's analyze the diff.

Original method: private static Template getTemplate(String name) throws CompilationFailedException, ClassNotFoundException, IOException {. Inside, it creates a new GStringTemplateEngine engine = new GStringTemplateEngine(); Then uses it to create templates.

Modified method: private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException, ClassNotFoundException, IOException {. It takes engine as parameter instead of creating new one. Inside, the code references engine variable. But note: the code still refers to 'engine' variable but no longer declares new GStringTemplateEngine. So the changes changed method signature to accept engine.

Is this a bug fix? Possibly they wanted to allow passing different engine, e.g., for testing or to reuse engine. Might not be bug fix but design improvement. But maybe the bug was that engine was not used? No, original had new engine each time. That might not be bug. But changed signature might break code. Hard to say bug.

But the diff is only signature change and removal of local variable. No other logic changes. That likely is not bug fix but refactor. So answer 'NotBuggy'.

Check if any error-handling updates? No. So likely NotBuggy.

Thus output ""NotBuggy"".assistantfinalNotBuggy"
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}","analysisWe need to determine if changes indicate a bug fix. The diff shows method signature changed: previously returned CouchbaseEnvironment, now returns DefaultCouchbaseEnvironment. Also changed implementation from createEnvironment to initializeEnvironmentBuilder().build(). So likely updating to newer API or bug fix. But is it a bug fix? The change might be to return correct type or to use builder to avoid bug. There's no comment about bug. But typical bug fix: change return type to more specific or use builder to avoid null? Hard to tell. The question: ""determine if the changes are related to a bug fix."" The diff changes the method to return DefaultCouchbaseEnvironment instead of generic CouchbaseEnvironment. Also changed internal logic. That could be a bug fix if the original code caused issues due to generic type or method not working. But do we have enough to confirm bug fix? It might be a refactor. However the introduction of initializeEnvironmentBuilder suggests using builder pattern for environment. Could be a bug fix. But we need to output 'Buggy' if changes indicate a bug fix, else 'NotBuggy'. I think this likely a bug fix. So output 'Buggy'.assistantfinalBuggy"
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657","CommitMessage: Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657
Diff:
@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}","analysisWe need to determine if the changes indicate a bug fix. The diff shows method name changed from createEnvironment to initializeEnvironmentBuilder, changed return type from DefaultCouchbaseEnvironment to Builder. Also removed builder.build() and now return builder. That might be a bug fix? The original code built the environment and returned it; new code returns builder, likely because the caller expects builder to build later? But diff may reflect a bug fix: The original method might have been misnamed or incorrectly returning finished environment when builder needed. However, the changes might be a refactor, not bug fix. Let's analyze. The method 'createEnvironment' returned a built environment (DefaultCouchbaseEnvironment). The new method 'initializeEnvironmentBuilder' returns the builder object. The diff also adds socketConnectTimeout. That might be a missing configuration bug. The return type change might be a design change. But the question: ""determine if the changes are related to a bug fix."" They specifically mention error-handling updates, logical corrections, exception-handling improvements, etc. The change ""return builder"" instead of builder.build() could be a bug fix to avoid building environment prematurely. But it's more of a refactor. Also adding socketConnectTimeout might be bug fix: missing timeout config causing connection issues. That could be a bug fix. However, the method rename and return type change could be part of a bug fix to allow callers to further configure the environment. There's no evidence of error handling. But adding socketConnectTimeout is a missing config bug. The question is ambiguous: is that a bug fix? The diff does include adding socketConnectTimeout. That is likely a bug fix: previously missing socket connect timeout might cause connections to hang. So I'd lean that it's a bug fix. But the method rename and return type changes are just refactoring. The presence of a new config addition is bug fix. So answer: Buggy.assistantfinalBuggy"
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584","CommitMessage: Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584
Diff:
@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}","analysisWe have to determine if the changes are bug fix. Diff shows change in predicate logic: previously it used message.startsWith(argument.getClass().getName()). Now it calls a method startsWithArgumentClassName(message, argument). That suggests refactoring? Maybe bug fix: method moved to static? Let's inspect: The code snippet is part of a method. The previous predicate used argument.getClass().getName() to compare. The new code calls static method startsWithArgumentClassName(message, argument). That likely extracts logic to handle null or other cases, perhaps bug fix. The diff indicates the change is to update the predicate to call the method, which likely handles null argument and maybe message null. This seems like bug fix: previously the predicate would throw NullPointerException if argument null? Actually predicate's argument is the argument variable (passed to test). In the previous code, the lambda checks argument!= null && message.startsWith(argument.getClass().getName()); That returns false if argument null. It doesn't check message null. The new method might also handle message null. But from diff, we cannot see method implementation.

However, the change indicates a bug fix: maybe the logic previously used message.startsWith(argument.getClass().getName()); but they want to check if message starts with the class name of the argument but the method signature expects message and argument. The change might be to avoid NPE due to message being null or argument being null. But the previous code had argument!= null check, but not message. The new method might handle message null.

We should decide if this is bugfix or just refactoring. The new method likely performs same logic but with additional null checks or other logic. This likely addresses a bug. So output 'Buggy'.

Thus answer: Buggy.assistantfinalBuggy"
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691","CommitMessage: Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691
Diff:
@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}","analysisWe need to determine if change is bug fix. Let's examine diff: They changed condition in logError method. Previously, it checked if response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR). Now they added a check: if (HttpStatus.resolve(response.rawStatusCode())!= null && response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)). So they added a guard to ensure that rawStatusCode resolves to a valid HttpStatus. Maybe bug: response.statusCode() could be null? Wait, statusCode() returns HttpStatus. rawStatusCode() returns int. HttpStatus.resolve(int) returns HttpStatus or null if not defined. So they added a check to avoid null pointer? Possibly bug: response.statusCode() may be null if statusCode not set? But earlier they used equals, which would throw NullPointerException. But the check ensures that statusCode is not null? Actually, they check HttpStatus.resolve(response.rawStatusCode())!= null. But that doesn't guarantee statusCode() is not null. But if statusCode is null, calling equals on null would cause NPE. But earlier code had that. So maybe bug: if statusCode is null, equals will NPE. But adding check doesn't fix that. Wait, maybe statusCode() can only be null if raw status code is not defined? But HttpStatus.resolve returns null for unknown codes. But statusCode() may still be null. But they don't check statusCode() null. But maybe statusCode() is never null; only raw status code may be unknown. But if raw status code is unknown, statusCode() might be null. But the equals check would throw NPE. So adding resolve check helps to avoid NPE. That seems a bug fix. So classification: Buggy. Output: Buggy.assistantfinalBuggy"
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };","analysisWe need to determine whether changes are bug fix. The diff shows adding a private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); inside the anonymous iterator implementation. Previously maybe used optionals.iterator() directly? The change introduces checkNotNull to guard against null iterator. This is an error-handling improvement. That likely indicates bug fix. So output 'Buggy'.

But we must be careful: the term ""Buggy"" means changes indicate a bug fix. The change adds null check to avoid potential NullPointerException if optionals is null? Actually optionals is likely a collection. The code ensures iterator not null. It's a defensive programming improvement. Could be bug fix. So output Buggy.

Thus answer 'Buggy'.assistantfinalBuggy"
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796","CommitMessage: Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796
Diff:
@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }","analysisWe need to decide if changes indicate a bug fix. Diff shows modifications: added final keyword to method parameter, added final to iterator variable inside iterator, removed checkNotNull optionals.iterator() call from earlier line? Actually diff: previously had checkNotNull(optionals.iterator()) line; removed that. Instead, inside the inner class it declares private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator()); So ensures iterator is not null. The earlier line might have been a bug: calling checkNotNull(optionals.iterator()) but not using the result? Actually earlier, they had:

final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());

But that variable was defined but unused? Wait earlier code: before change:

-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());

But that line is outside of the returned Iterable. However inside the new code, they removed that line and instead defined iterator inside the AbstractIterator. The earlier line had local variable 'iterator' that was not used anywhere else. This might be a bug: unused variable leads to no effect, maybe they intended to use it but then mis-placed. The change corrects that: the iterator is used inside the computeNext. So yes it's a bug fix. Also added final to method parameter? Not bug but style.

Thus, the changes indicate bug fix. Output 'Buggy'.assistantfinalBuggy"
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21","CommitMessage: Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21
Diff:
@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }","analysisWe need to decide if changes indicate a bug fix. Diff shows clear method override. Previously: linkedEntries.removeAll(createEntries(delegate())); Now: iterate over delegate values and remove individually: for (V value : delegate) { linkedEntries.remove(createEntry(value)); } delegate.clear();

Potential bug: removeAll might not remove correctly due to mismatch of entry objects? Perhaps bug.

We need to analyze if change is bug fix. The diff modifies behavior: instead of removing all entries at once, it removes each. That suggests bug fix. So answer likely 'Buggy'.

But consider: maybe it's a performance change or design, not bug fix. But removal of all entries might have removed wrong entries due to mismatched equals? The change likely addresses bug. So output 'Buggy'.

Check instructions: Output only a single word: 'Buggy' if the changes indicate a bug fix, otherwise 'NotBuggy'.

Thus output 'Buggy'.assistantfinalBuggy"
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559","CommitMessage: AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559
Diff:
@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }","analysisWe need to determine if changes indicate a bug fix.

The diff shows modification of method hasEdgeConnecting. Original returned!edgesConnecting(nodeU, nodeV).isEmpty(); Now it adds null checks and checks nodes().contains(nodeU) && successors(nodeU).contains(nodeV). This likely fixes bug: previously null pointer exception or incorrect behavior when nodeU not in graph. So it's a bug fix. Output 'Buggy'.assistantfinalBuggy"
